FAIL lock
FAIL lock
FAIL matches
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
         136832 function calls (134769 primitive calls) in 70.227 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      216    0.005    0.000    0.005    0.000 main.py:118(<listcomp>)
      174    0.002    0.000    0.005    0.000 main.py:152(get_central_camera_point)
      606    0.005    0.000    0.005    0.000 {perspectiveTransform}
      134    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:591(_open_registry)
        8    0.000    0.000    0.005    0.001 __init__.py:356(namedtuple)
        1    0.000    0.000    0.005    0.005 __init__.py:24(<module>)
      216    0.005    0.000    0.005    0.000 {built-in method numpy.core.multiarray.zeros}
        1    0.000    0.000    0.005    0.005 polynomial.py:4(<module>)
      268    0.005    0.000    0.005    0.000 {built-in method winreg.OpenKey}
      118    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.004    0.004 tempfile.py:24(<module>)
      118    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
      135    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 index_tricks.py:1(<module>)
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
     1535    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
        1    0.000    0.000    0.004    0.004 runner.py:1(<module>)
        1    0.000    0.000    0.003    0.003 random.py:37(<module>)
       16    0.000    0.000    0.003    0.000 sre_compile.py:516(_code)
      219    0.003    0.000    0.003    0.000 {ORB_create}
      236    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:24(<module>)
      789    0.003    0.000    0.003    0.000 {built-in method builtins.round}
    66/16    0.000    0.000    0.003    0.000 sre_compile.py:64(_compile)
     1038    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.003    0.003 signals.py:1(<module>)
      247    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:406(cached)
       16    0.000    0.000    0.002    0.000 sre_parse.py:819(parse)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
      129    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
       29    0.000    0.000    0.002    0.000 sre_compile.py:221(_compile_charset)
    30/16    0.000    0.000    0.002    0.000 sre_parse.py:429(_parse_sub)
        1    0.000    0.000    0.002    0.002 numerictypes.py:82(<module>)
      435    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
       29    0.002    0.000    0.002    0.000 sre_compile.py:248(_optimize_charset)
     1535    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
    34/16    0.001    0.000    0.002    0.000 sre_parse.py:491(_parse)
      118    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
        1    0.000    0.000    0.002    0.002 hashlib.py:53(<module>)
      144    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:163(__enter__)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
        1    0.000    0.000    0.002    0.002 linalg.py:10(<module>)
        1    0.000    0.000    0.002    0.002 fftpack.py:32(<module>)
        1    0.000    0.000    0.002    0.002 bz2.py:5(<module>)
        1    0.000    0.000    0.002    0.002 string.py:65(__init__)
        1    0.000    0.000    0.002    0.002 polynomial.py:56(<module>)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
      273    0.001    0.000    0.002    0.000 function_base.py:4361(add_newdoc)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 arrayprint.py:5(<module>)
       14    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
       14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
      326    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
        1    0.000    0.000    0.001    0.001 _distributor_init.py:2(<module>)
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
     1621    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     2298    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      236    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
     2011    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       43    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      174    0.001    0.000    0.001    0.000 {invert}
      216    0.001    0.000    0.001    0.000 main.py:135(<listcomp>)
      129    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
        1    0.000    0.000    0.001    0.001 fnmatch.py:11(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
      326    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:94(acquire)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
      216    0.001    0.000    0.001    0.000 {contourArea}
       14    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.001    0.001 wintypes.py:2(<module>)
      135    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(__exit__)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1301(path_hook_for_FileFinder)
      193    0.001    0.000    0.001    0.000 {boundingRect}
        2    0.000    0.000    0.001    0.000 function_base.py:1(<module>)
     1861    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
      326    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:119(release)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
2216/2182    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     1497    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
        1    0.000    0.000    0.001    0.001 pickle.py:180(<listcomp>)
        4    0.000    0.000    0.001    0.000 warnings.py:38(filterwarnings)
      144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
       43    0.000    0.000    0.001    0.000 core.py:113(get_object_signature)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
      129    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
     3326    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      101    0.000    0.000    0.001    0.000 re.py:160(match)
      216    0.001    0.000    0.001    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
       10    0.000    0.000    0.001    0.000 abc.py:132(__new__)
      144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:170(__exit__)
      216    0.001    0.000    0.001    0.000 {method 'ravel' of 'numpy.ndarray' objects}
